id1,affil1,affil_tokens_labeled,affil_tokens,total_entities
9469,"Arizona State University, Tempe, USA",Arizona State University<ORG>; Tempe<LOC>; USA<LOC>,Arizona State University; Tempe; USA,3
3068,Aster Data,Aster Data<ORG>,Aster Data,1
9563,Aster Data Systems,Aster Data Systems<ORG>,Aster Data Systems,1
5130,"ASU, Tempe, AZ",ASU<ORG>; Tempe<ORG>; AZ<ORG>,ASU; Tempe; AZ,3
4046,AT & T Labs-Research,AT & T Labs-Research<ORG>,AT & T Labs-Research,1
4168,"AT & T Labs-Research, Florham Park, NJ",AT & T Labs-Research<ORG>; Florham Park<ORG>; NJ<LOC>,AT & T Labs-Research; Florham Park; NJ,3
9264,"AT & T Labs-Research, Florham Park, USA 07932",AT & T Labs-Research<ORG>; Florham Park<LOC>; USA<LOC>,AT & T Labs-Research; Florham Park; USA,3
3435,AT&T,AT&T<LOC>,AT&T,1
6808,AT&T Laboratories,AT&T Laboratories<ORG>,AT&T Laboratories,1
6259,"AT&T Laboratories - Research, Florham Park, NJ, USA",AT&T Laboratories - Research<ORG>; Florham Park<ORG>; NJ<LOC>; USA<LOC>,AT&T Laboratories - Research; Florham Park; NJ; USA,4
1635,AT&T Labs,AT&T Labs<ORG>,AT&T Labs,1
1702,AT&T Labs - Research,AT&T Labs - Research<ORG>,AT&T Labs - Research,1
4264,"AT&T Labs - Research, Florham Park, NJ",AT&T Labs - Research<ORG>; Florham Park<ORG>; NJ<LOC>,AT&T Labs - Research; Florham Park; NJ,3
5865,"AT&T Labs - Research, Florham Park, NJ, USA",AT&T Labs - Research<ORG>; Florham Park<ORG>; NJ<LOC>; USA<LOC>,AT&T Labs - Research; Florham Park; NJ; USA,4
7429,AT&T Labs -- Research,AT&T Labs -- Research<ORG>,AT&T Labs -- Research,1
7761,"AT&T Labs &ndash;&#8211; Research, 180 Park Avenue, Bldg 103, Florham Park, NJ 07932, USA; E-mail: divesh@research.att.com",AT&T Labs &ndash;&#8211; Research<ORG>; Bldg 103<LOC>; Florham Park<LOC>; NJ 07932<LOC>; USA<LOC>; E-mail<MISC>; divesh@research.att.com<ORG>,AT&T Labs &ndash;&#8211; Research; Bldg 103; Florham Park; NJ 07932; USA; E-mail; divesh@research.att.com,7
2240,AT&T Labs Inc.,AT&T Labs Inc<ORG>,AT&T Labs Inc,1
6367,"AT&T Labs Inc. - Research, Florham Park, NJ, USA",AT&T Labs Inc<ORG>; Florham Park<ORG>; NJ<LOC>; USA<LOC>,AT&T Labs Inc; Florham Park; NJ; USA,4
454,AT&T Labs Research,AT&T Labs Research<ORG>,AT&T Labs Research,1
7730,"AT&T Labs Research, 180 Park Avenue, Room E243, Florham Park, NJ 07932, USA; E-mail: mff@research.att.com",AT&T Labs Research<ORG>; Room E243<LOC>; Florham Park<LOC>; NJ 07932<LOC>; USA<LOC>; E-mail<MISC>,AT&T Labs Research; Room E243; Florham Park; NJ 07932; USA; E-mail,6
7699,"AT&T Labs Research, Florham Park, N.J., USA; e-mail: divesh@research.att.com",AT&T Labs Research<ORG>; Florham Park<LOC>; N.J.<LOC>; USA<LOC>; divesh@research.att.com<ORG>,AT&T Labs Research; Florham Park; N.J.; USA; divesh@research.att.com,5
1072,"AT&T Labs Research, Florham Park, NJ",AT&T Labs Research<ORG>; Florham Park<ORG>; NJ<LOC>,AT&T Labs Research; Florham Park; NJ,3
5996,"AT&T Labs Research, Florham Park, NJ, USA",AT&T Labs Research<ORG>; Florham Park<ORG>; NJ<LOC>; USA<LOC>,AT&T Labs Research; Florham Park; NJ; USA,4
7733,AT&T Labs Research; E-mail: suciu@research.att.com,AT&T Labs Research<ORG>; E-mail<MISC>; suciu@research.att.com<MISC>,AT&T Labs Research; E-mail; suciu@research.att.com,3
7080,AT&T Labs---Research,AT&T Labs---Research<ORG>,AT&T Labs---Research,1
7659,"AT&T Labs---Research, Florham Park, NJ",AT&T Labs---Research<ORG>; Florham Park<ORG>; NJ<LOC>,AT&T Labs---Research; Florham Park; NJ,3
3142,AT&T Labs--Research,AT&T Labs--Research<ORG>,AT&T Labs--Research,1
3117,"AT&T Labs--Research, Florham Park, NJ",AT&T Labs--Research<ORG>; Florham Park<LOC>; NJ<LOC>,AT&T Labs--Research; Florham Park; NJ,3
8034,"AT&T Labs--Research, NJ",AT&T Labs--Research<ORG>; NJ<ORG>,AT&T Labs--Research; NJ,2
8024,"AT&T Labs--Research, USA",AT&T Labs--Research<ORG>; USA<LOC>,AT&T Labs--Research; USA,2
103,AT&T Labs-Research,AT&T Labs-Research<ORG>,AT&T Labs-Research,1
7737,"AT&T Labs-Research, 180 Park Ave., Room E 233, Florham Park, NJ 07932-0971, USA; http://www.research.att.com/~suciu",AT&T Labs-Research<ORG>; Room E 233<MISC>; Florham Park<LOC>; NJ<MISC>; USA<LOC>,AT&T Labs-Research; Room E 233; Florham Park; NJ; USA,5
7710,"AT&T Labs-Research, 180 Park Avenue, Bldg. 103, Florham Park, NJ 07932, USA; e-mail: {sihem, divesh}@research.att.com",AT&T Labs-Research<ORG>; Bldg<LOC>; Florham Park<LOC>; NJ 07932<LOC>; USA<LOC>; divesh}@research.att.com<ORG>,AT&T Labs-Research; Bldg; Florham Park; NJ 07932; USA; divesh}@research.att.com,6
8948,"AT&T Labs-Research, Florham Park NJ",AT&T Labs-Research<ORG>; Florham Park NJ<LOC>,AT&T Labs-Research; Florham Park NJ,2
2964,"AT&T Labs-Research, Florham Park, NJ",AT&T Labs-Research<ORG>; Florham Park<ORG>; NJ<LOC>,AT&T Labs-Research; Florham Park; NJ,3
5773,"AT&T Labs-Research, New Jersey, NJ, USA",AT&T Labs-Research<ORG>; New Jersey<LOC>; NJ<LOC>; USA<LOC>,AT&T Labs-Research; New Jersey; NJ; USA,4
1456,"AT&T Labs-Research, NJ",AT&T Labs-Research<ORG>; NJ<ORG>,AT&T Labs-Research; NJ,2
8577,"AT&T Labs-Research, USA",AT&T Labs-Research<ORG>; USA<LOC>,AT&T Labs-Research; USA,2
9240,"AT&T Labs, Florham Park, NJ",AT&T Labs<LOC>; Florham Park<LOC>; NJ<LOC>,AT&T Labs; Florham Park; NJ,3
6156,"AT&T Labs, Florham Park, NJ, USA",AT&T Labs<LOC>; Florham Park<LOC>; NJ<LOC>; USA<LOC>,AT&T Labs; Florham Park; NJ; USA,4
6764,"AT&T Labs, Research",AT&T Labs<ORG>,AT&T Labs,1
7624,AT&T Labs?Research,Labs?Research<MISC>,Labs?Research,1
9400,"AT&T Labs&mdash;&#8212;Research, Florham Park, NJ",Florham Park<LOC>; NJ<LOC>,Florham Park; NJ,2
7112,AT&T Research,AT&T Research<ORG>,AT&T Research,1
7105,"AT&T Research Laboratory, Florham Park, NJ",AT&T Research Laboratory<ORG>; Florham Park<ORG>; NJ<LOC>,AT&T Research Laboratory; Florham Park; NJ,3
3074,Athens Univ. of Economics and Business,Athens Univ<LOC>; Economics and Business<MISC>,Athens Univ; Economics and Business,2
5179,"Athens University of Economics and Business, Athens, Greece",Athens University of Economics and Business<ORG>; Athens<LOC>; Greece<LOC>,Athens University of Economics and Business; Athens; Greece,3
2494,"Athens University of Economics and Business, Greece",Athens University of Economics and Business<ORG>; Greece<LOC>,Athens University of Economics and Business; Greece,2
5204,"ATT Labs - Research, Florham Park, NJ",ATT Labs - Research<ORG>; Florham Park<ORG>; NJ<LOC>,ATT Labs - Research; Florham Park; NJ,3
1854,"Basic Research Unit, Helsinki Institute for Information Technology, Department of Computer Science, University of Helsinki, Finland",Basic Research Unit<MISC>; Helsinki Institute for Information Technology<ORG>; Department of Computer Science<ORG>; University of Helsinki<ORG>; Finland<LOC>,Basic Research Unit; Helsinki Institute for Information Technology; Department of Computer Science; University of Helsinki; Finland,5
1140,"Bayerisches Forschungszentrum für Wissensbasierte Systeme, Orleansstrá, München, Germany",Bayerisches Forschungszentrum für Wissensbasierte Systeme<ORG>; Orleansstrá<LOC>; München<LOC>; Germany<LOC>,Bayerisches Forschungszentrum für Wissensbasierte Systeme; Orleansstrá; München; Germany,4
3653,BEA Systems,BEA Systems<ORG>,BEA Systems,1
6321,"BEA Systems Inc, San Jose, CA, USA",BEA Systems Inc<ORG>; San Jose<LOC>; CA<LOC>; USA<LOC>,BEA Systems Inc; San Jose; CA; USA,4
2587,"BEA Systems, Inc, San Jose","BEA Systems, Inc<ORG>; San Jose<LOC>","BEA Systems, Inc; San Jose",2
2465,"BEA Systems, Inc.",BEA Systems<ORG>,BEA Systems,1
1224,"BEA Systems, Inc.,",BEA Systems<ORG>,BEA Systems,1
4616,"BEA Systems, Inc., Burlington, MA",BEA Systems<ORG>; Burlington<LOC>; MA<LOC>,BEA Systems; Burlington; MA,3
5337,"BEA Systems, Inc., San Francisco, CA",BEA Systems<ORG>; San Francisco<LOC>; CA<LOC>,BEA Systems; San Francisco; CA,3
799,"BEA Systems, Inc., San Jose, CA",BEA Systems<ORG>; San Jose<LOC>; CA<LOC>,BEA Systems; San Jose; CA,3
804,"BEA Systems, Inc., San Jose, CA and Computer Science Department at the University of California, San Diego",BEA Systems<ORG>; San Jose<LOC>; CA and Computer Science Department<ORG>; University of California<ORG>; San Diego<LOC>,BEA Systems; San Jose; CA and Computer Science Department; University of California; San Diego,5
4627,"BEA Systems, Liberty Corner, NJ",BEA Systems<ORG>; Liberty Corner<ORG>; NJ<LOC>,BEA Systems; Liberty Corner; NJ,3
9233,"BEA Systems, Redwood Shores, CA",BEA Systems<ORG>; Redwood Shores<ORG>; CA<ORG>,BEA Systems; Redwood Shores; CA,3
4629,"BEA Systems, San Francisco, CA",BEA Systems<ORG>; San Francisco<LOC>; CA<LOC>,BEA Systems; San Francisco; CA,3
1583,"BEA Systems, San Jose, CA",BEA Systems<ORG>; San Jose<LOC>; CA<LOC>,BEA Systems; San Jose; CA,3
1585,"BEA Systems, San Jose, CA and Technical University of Munich, Munich, Germany",BEA Systems<ORG>; San Jose<LOC>; CA and<ORG>; Technical University of Munich<ORG>; Munich<LOC>; Germany<LOC>,BEA Systems; San Jose; CA and; Technical University of Munich; Munich; Germany,6
8070,"BEA Systems, USA",BEA Systems<ORG>; USA<LOC>,BEA Systems; USA,2
4236,"BEA Systems. Inc., San Francisco, CA",BEA Systems<ORG>; San Francisco<LOC>; CA<LOC>,BEA Systems; San Francisco; CA,3
3,Bell Laboratories,Bell Laboratories<ORG>,Bell Laboratories,1
100,Bell Laboratories (India),Bell Laboratories<ORG>; India<LOC>,Bell Laboratories; India,2
6511,"Bell Laboratories, 600 Mountain Avenue, Murray Hill, NJ",Bell Laboratories<ORG>; Mountain Avenue<LOC>; Murray Hill<LOC>; NJ<MISC>,Bell Laboratories; Mountain Avenue; Murray Hill; NJ,4
7861,"Bell Laboratories, 600 Mountain Avenue, Murray Hill, NJ 07974, USA; e-mail: {minos,rastogi}@bell-labs.com","Bell Laboratories<ORG>; Mountain Avenue<LOC>; Murray Hill<LOC>; NJ 07974<LOC>; USA<LOC>; minos,rastogi}@bell-labs.com<ORG>","Bell Laboratories; Mountain Avenue; Murray Hill; NJ 07974; USA; minos,rastogi}@bell-labs.com",6
5671,"Bell Laboratories, Alcatel-Lucent, Lisle, IL, USA",Bell Laboratories<ORG>; Alcatel-Lucent<ORG>; Lisle<LOC>; IL<LOC>; USA<LOC>,Bell Laboratories; Alcatel-Lucent; Lisle; IL; USA,5
22,"Bell Laboratories, Lucent Technologies",Bell Laboratories<ORG>; Lucent Technologies<ORG>,Bell Laboratories; Lucent Technologies,2
7913,"Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, Murray Hill, USA",Bell Laboratories<ORG>; Lucent Technologies<ORG>; NJ 07974<MISC>; Murray Hill<LOC>; USA<LOC>,Bell Laboratories; Lucent Technologies; NJ 07974; Murray Hill; USA,5
7717,"Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, USA; {cychan, pascal, minos, rastogi}@research.bell-labs.com",Bell Laboratories<ORG>; Lucent Technologies<ORG>; NJ 07974<LOC>; USA<LOC>; pascal<PER>; minos<PER>; rastogi}@research.bell-labs.com<MISC>,Bell Laboratories; Lucent Technologies; NJ 07974; USA; pascal; minos; rastogi}@research.bell-labs.com,7
7320,"Bell Laboratories, Lucent Technologies, Murray Hill, NJ",Bell Laboratories<ORG>; Lucent Technologies<ORG>; Murray Hill<PER>; NJ<MISC>,Bell Laboratories; Lucent Technologies; Murray Hill; NJ,4
8098,"Bell Laboratories, Lucent Technologies, USA",Bell Laboratories<ORG>; Lucent Technologies<ORG>; USA<LOC>,Bell Laboratories; Lucent Technologies; USA,3
6586,"Bell Laboratories, Murray Hill, NJ",Bell Laboratories<ORG>; Murray Hill<PER>; NJ<MISC>,Bell Laboratories; Murray Hill; NJ,3
455,Bell Labs,Bell Labs<ORG>,Bell Labs,1
4330,Bell Labs Research,Bell Labs Research<ORG>,Bell Labs Research,1
5591,"Bell Labs Research India, India",Bell Labs Research India<ORG>; India<LOC>,Bell Labs Research India; India,2
5655,"Bell Labs Research, Bangalore, India",Bell Labs Research<ORG>; Bangalore<LOC>; India<LOC>,Bell Labs Research; Bangalore; India,3
2246,"Bell Labs, Alcatel-Lucent",Bell Labs<ORG>; Alcatel-Lucent<ORG>,Bell Labs; Alcatel-Lucent,2
7007,"Bell Labs, Lucent",Bell Labs<ORG>,Bell Labs,1
1,"Bell Labs, Lucent Technologies",Bell Labs<ORG>; Lucent Technologies<ORG>,Bell Labs; Lucent Technologies,2
7120,"Bell Labs, Lucent Technologies Murray Hill, NJ",Bell Labs<ORG>; Lucent Technologies Murray Hill<ORG>; NJ<MISC>,Bell Labs; Lucent Technologies Murray Hill; NJ,3
7999,"Bell Labs, Lucent Technologies, Murray Hill, New Jersey",Bell Labs<ORG>; Lucent Technologies<ORG>; Murray Hill<LOC>; New Jersey<LOC>,Bell Labs; Lucent Technologies; Murray Hill; New Jersey,4
8206,"Bell Labs, Lucent Technologies, Murray Hill, NJ",Bell Labs<ORG>; Lucent Technologies<ORG>; Murray Hill<PER>; NJ<MISC>,Bell Labs; Lucent Technologies; Murray Hill; NJ,4
6487,"Bell Labs, Murray Hill, NJ",Bell Labs<ORG>; Murray Hill<PER>; NJ<MISC>,Bell Labs; Murray Hill; NJ,3
6538,Bell Labs.,Bell Labs<ORG>,Bell Labs,1
543,Berkeley,Berkeley<PER>,Berkeley,1
4052,Berufsakademie Stuttgart/IBM Germany,IBM Germany<ORG>,IBM Germany,1
8106,"Bilkent University, Ankara, Turkey",Bilkent University<ORG>; Ankara<LOC>; Turkey<LOC>,Bilkent University; Ankara; Turkey,3
8108,"Bilkent University, Bursa, Turkey",Bilkent University<ORG>; Bursa<LOC>; Turkey<LOC>,Bilkent University; Bursa; Turkey,3
321,"Biological Data Management and Technology Center, Berkeley, CA",Biological Data Management and Technology Center<MISC>; Berkeley<LOC>; CA<LOC>,Biological Data Management and Technology Center; Berkeley; CA,3
4246,Boeing Phantom Works,Boeing Phantom Works<MISC>,Boeing Phantom Works,1
257,Boston University,Boston University<ORG>,Boston University,1
2331,"Boston University, Boston, MA",Boston University<ORG>; Boston<ORG>; MA<LOC>,Boston University; Boston; MA,3
5642,"Boston University, Boston, MA, USA",Boston University<ORG>; Boston<LOC>; MA<LOC>; USA<LOC>,Boston University; Boston; MA; USA,4
9373,"Boston University, Boston, USA",Boston University<ORG>; Boston<LOC>; USA<LOC>,Boston University; Boston; USA,3
9383,"Boston University, Boston, USA 02215",Boston University<ORG>; Boston<ORG>; USA<LOC>,Boston University; Boston; USA,3
1009,Brandeis University,Brandeis University<ORG>,Brandeis University,1
155,"Brandeis University, Waltham, MA",Brandeis University<ORG>; Waltham<ORG>; MA<LOC>,Brandeis University; Waltham; MA,3
5706,"Brandeis University, Waltham, MA, USA",Brandeis University<ORG>; Waltham<ORG>; MA<LOC>; USA<LOC>,Brandeis University; Waltham; MA; USA,4
9625,Brown U,Brown U<MISC>,Brown U,1
736,Brown University,Brown University<ORG>,Brown University,1
164,"Brown University, Providence, RI",Brown University<ORG>; Providence<ORG>; RI<ORG>,Brown University; Providence; RI,3
5999,"Brown University, Providence, RI, USA",Brown University<ORG>; Providence<ORG>; RI<LOC>; USA<LOC>,Brown University; Providence; RI; USA,4
4644,"Brown University, Providence, RI.",Brown University<ORG>; Providence<ORG>; RI<ORG>,Brown University; Providence; RI,3
9063,C.M.U.,C.M.U.<ORG>,C.M.U.,1
1098,"C&C Research Laboratories - Silicon Valley, NEC USA, INC., Cupertino, California",C&C Research Laboratories - Silicon Valley<ORG>; NEC USA<ORG>; INC<ORG>; Cupertino<LOC>; California<LOC>,C&C Research Laboratories - Silicon Valley; NEC USA; INC; Cupertino; California,5
1244,"C&C Research Laboratories - Silicon Valley, NEC USA, Inc., Suite, Cupertino, California",C&C Research Laboratories - Silicon Valley<ORG>; NEC USA<ORG>; Suite<LOC>; Cupertino<LOC>; California<LOC>,C&C Research Laboratories - Silicon Valley; NEC USA; Suite; Cupertino; California,5
7777,"C&C Research Laboratories, NEC USA, 110 Rio Robles, M/S SJ100, San Jose, CA 95134, USA; E-mail: {wen,candan,hirata,hara}@ccrl.sj.nec.com",C&C Research Laboratories<ORG>; NEC USA<ORG>; Rio Robles<LOC>; M<LOC>; S SJ100<LOC>; San Jose<LOC>; CA 95134<LOC>; USA<LOC>; E-mail<MISC>,C&C Research Laboratories; NEC USA; Rio Robles; M; S SJ100; San Jose; CA 95134; USA; E-mail,9
6883,"C&C Research Laboratories, NEC, Inc., 110 Rio Robles, San Jose, CA",C&C Research Laboratories<ORG>; NEC<ORG>; Rio Robles<LOC>; San Jose<LOC>; CA<LOC>,C&C Research Laboratories; NEC; Rio Robles; San Jose; CA,5
233,Carnegie Mellon University,Carnegie Mellon University<ORG>,Carnegie Mellon University,1
9792,"Carnegie Mellon University, 5000 Forbes Ave., Pittsburgh, PA 15213, USA",Carnegie Mellon University<ORG>; Forbes Ave<ORG>; Pittsburgh<LOC>; PA 15213<LOC>; USA<LOC>,Carnegie Mellon University; Forbes Ave; Pittsburgh; PA 15213; USA,5
9040,"Carnegie Mellon University, Akamai Technologies",Carnegie Mellon University<ORG>; Akamai Technologies<ORG>,Carnegie Mellon University; Akamai Technologies,2
9039,"Carnegie Mellon University, EPFL",Carnegie Mellon University<ORG>; EPFL<ORG>,Carnegie Mellon University; EPFL,2
9041,"Carnegie Mellon University, Intel Research Pittsburgh",Carnegie Mellon University<ORG>; Intel Research Pittsburgh<ORG>,Carnegie Mellon University; Intel Research Pittsburgh,2
4139,"Carnegie Mellon University, Pittsburgh",Carnegie Mellon University<ORG>; Pittsburgh<ORG>,Carnegie Mellon University; Pittsburgh,2
18,"Carnegie Mellon University, Pittsburgh, PA",Carnegie Mellon University<ORG>; Pittsburgh<ORG>; PA<LOC>,Carnegie Mellon University; Pittsburgh; PA,3
5598,"Carnegie Mellon University, Pittsburgh, PA, USA",Carnegie Mellon University<ORG>; Pittsburgh<LOC>; PA<LOC>; USA<LOC>,Carnegie Mellon University; Pittsburgh; PA; USA,4
896,"Carnegie Mellon University, Pittsburgh, Pennsylvania",Carnegie Mellon University<ORG>; Pittsburgh<LOC>; Pennsylvania<LOC>,Carnegie Mellon University; Pittsburgh; Pennsylvania,3
8064,"Carnegie Mellon University, USA",Carnegie Mellon University<ORG>; USA<LOC>,Carnegie Mellon University; USA,2
32,"Case Western Reserve University, Cleveland, OH",Case Western Reserve University<ORG>; Cleveland<ORG>; OH<ORG>,Case Western Reserve University; Cleveland; OH,3
1651,Cedric-CNAM,Cedric-CNAM<ORG>,Cedric-CNAM,1
2691,"CEDRIC-CNAM Paris, France",CEDRIC-<MISC>; France<LOC>,CEDRIC-; France,2
9413,"Cedric, CNAM, Paris, France",Cedric<ORG>; CNAM<ORG>; Paris<LOC>; France<LOC>,Cedric; CNAM; Paris; France,4
7680,"Cedric/CNAM Paris, France; e-mail: vodislav&commat;cnam.fr",Cedric<ORG>; CNAM Paris<ORG>; France<LOC>,Cedric; CNAM Paris; France,3
1416,"Center for Adv. Compu. Studies, Univ. of Louisiana at Lafayette, Lafayette, LA",Adv<LOC>; Compu<LOC>; Studies<LOC>; Univ<LOC>; Louisiana<LOC>; Lafayette<LOC>; LA<LOC>,Adv; Compu; Studies; Univ; Louisiana; Lafayette; LA,8
8057,"Center for Advanced Computer Studies, University of Illinois at Chicago, USA",University of Illinois<ORG>; Chicago<LOC>; USA<LOC>,University of Illinois; Chicago; USA,3
9428,"Center for Comprehensive Informatics, Emory University, Atlanta, USA 30322",Emory University<ORG>; Atlanta<LOC>; USA<LOC>,Emory University; Atlanta; USA,3
883,"Center for Research in Biological System, University of California, San Diego, CA",Center for Research in Biological System<ORG>; University of California<ORG>; San Diego<LOC>; CA<LOC>,Center for Research in Biological System; University of California; San Diego; CA,4
2224,"Centrum voor Wiskunde en Informatica, Amsterdam, the Netherlands",Wiskunde<LOC>; Informatica<LOC>; Amsterdam<LOC>; Netherlands<LOC>,Wiskunde; Informatica; Amsterdam; Netherlands,4
7082,"Centrum voor Wiskunde en Informatica, Kruislaan 413, 1098 SJ, Amsterdam, The Netherlands",Wiskunde<LOC>; Informatica<LOC>; Kruislaan<LOC>; SJ<LOC>; Amsterdam<LOC>; The Netherlands<LOC>,Wiskunde; Informatica; Kruislaan; SJ; Amsterdam; The Netherlands,6
2408,"Centrum voor Wiskunde en Informatica, SJ Amsterdam, The Netherlands",Wiskunde<LOC>; SJ Amsterdam<ORG>; The Netherlands<ORG>,Wiskunde; SJ Amsterdam; The Netherlands,3
6118,"Centrum Wiskunde en Informatica, Amsterdam, Netherlands",Centrum Wiskunde<LOC>; Informatica<LOC>; Amsterdam<LOC>; Netherlands<LOC>,Centrum Wiskunde; Informatica; Amsterdam; Netherlands,4
2095,"CERIA Lab., Université Paris Dauphine, France",CERIA Lab<MISC>; Université Paris Dauphine<ORG>; France<LOC>,CERIA Lab; Université Paris Dauphine; France,3
8769,"CERIAS and Department of Computer Science, Purdue University, West Lafayette, USA",CERIAS<MISC>; Department of Computer Science<ORG>; Purdue University<ORG>; West Lafayette<LOC>; USA<LOC>,CERIAS; Department of Computer Science; Purdue University; West Lafayette; USA,5
7156,CERN,CERN<LOC>,CERN,1
1027,"CES Dept., UC Riverside",CES Dept<ORG>; UC Riverside<ORG>,CES Dept; UC Riverside,2
9001,Chinese Academy of Sciences,Chinese Academy of Sciences<ORG>,Chinese Academy of Sciences,1
2583,"Chinese Academy of Sciences, Beijing, China",Chinese Academy of Sciences<ORG>; Beijing<LOC>; China<LOC>,Chinese Academy of Sciences; Beijing; China,3
9641,"Chinese Academy of Sciences, China",Chinese Academy of Sciences<ORG>; China<LOC>,Chinese Academy of Sciences; China,2
3308,Chinese University of Hong Kong,Chinese University of Hong Kong<ORG>,Chinese University of Hong Kong,1
8992,"Chinese university of Hong Kong, Hong Kong, China",Chinese<MISC>; Hong Kong<LOC>; China<LOC>,Chinese; Hong Kong; China,4
5280,"Chinese University of Hong Kong, Hong Kong, Hong Kong",Chinese University of Hong Kong<ORG>; Hong Kong<LOC>,Chinese University of Hong Kong; Hong Kong,3
3223,"Chinese University of Hong Kong, New Territories, Hong Kong",Chinese University of Hong Kong<ORG>; New Territories<LOC>; Hong Kong<LOC>,Chinese University of Hong Kong; New Territories; Hong Kong,3
9136,"Chinese University of Hong Kong, Sha Tin, New Territories, Hong Kong",Chinese University of Hong Kong<ORG>; Sha Tin<LOC>; New Territories<LOC>; Hong Kong<LOC>,Chinese University of Hong Kong; Sha Tin; New Territories; Hong Kong,4
3905,Chutney Technologies,Chutney Technologies<ORG>,Chutney Technologies,1
8037,"Chutney Technologies, Atlanta, GA",Chutney Technologies<ORG>; Atlanta<ORG>; GA<ORG>,Chutney Technologies; Atlanta; GA,3
6972,"Chutney Technologies, Inc., Atlanta, GA",Chutney Technologies<ORG>; Atlanta<LOC>; GA<ORG>,Chutney Technologies; Atlanta; GA,3
